month,state,cases,deaths,cases_growth_rate,deaths_growth_rate,mortality_rate,mortality_rate_change
2020-06,South Dakota,177958,2282.0,0.4965143169490813,0.7856025039123631,1.2823250429876711,0.19317435435742492
2020-06,Tennessee,956724,14450.0,0.7835253149100616,0.6327683615819208,1.5103624451775017,-0.08452750968423606
2020-06,Texas,3090759,62054.0,1.1119921444985867,0.5495293030688941,2.0077269046211628,-0.2663186238144024
2020-06,Utah,464269,4277.0,1.0961739899947625,0.7301779935275081,0.9212331643939182,-0.1746019167369638
2020-06,Vermont,33551,1663.0,0.15577525922353508,0.00726832222895224,4.956633185299991,-0.12849118875788335
2020-06,Virgin Islands,2250,180.0,0.06032045240339312,0.09090909090909083,8.0,0.0288484848484849
2020-06,Virginia,1644315,47056.0,0.7768253004301817,0.5335180055401663,2.861738778761977,-0.1369337181495045
2020-06,Washington,845988,36893.0,0.42304114598489795,0.19689203218271478,4.360936561747921,-0.1589195888258479
2020-06,West Virginia,71793,2613.0,0.5132793727077274,0.3393131727319323,3.6396306046550495,-0.11495973784702795
2020-06,Wisconsin,761387,21236.0,0.9455248841838442,0.5253555523631661,2.7891203816193344,-0.21596708180730395
2020-06,Wyoming,33714,555.0,0.4799824407374891,0.8500000000000001,1.6462003915287418,0.25001483063415786
2020-07,Alabama,1918336,38436.0,1.3970600547053746,0.6219774655019623,2.003611463268166,-0.32334717174980343
2020-07,Alaska,67633,496.0,1.9401817154284222,0.70446735395189,0.7333698046811468,-0.42028503034087905
2020-07,Arizona,4105142,79906.0,2.16454201294912,1.1302585977072779,1.9464856514098658,-0.3268351031554061
2020-07,Arkansas,972426,10829.0,1.4180438339541568,0.836980491942324,1.1136065880591428,-0.24030306392818235
2020-07,California,11404982,232621.0,1.3251221022317332,0.4941293596248957,2.039643727627102,-0.35739746390489413
2020-07,Colorado,1215655,54290.0,0.3714287325913934,0.13021754970334132,4.46590521159375,-0.175883133520376
2020-07,Connecticut,1483675,135762.0,0.10011292715642295,0.08264884607410017,9.150386708679461,-0.015874807623126763
2020-07,Delaware,410198,16554.0,0.31220949389157426,0.26734037666513544,4.035612070268504,-0.03419356241157201
2020-07,District of Columbia,345436,17731.0,0.18369724632317674,0.14860400336853008,5.132933452216908,-0.029647144203177045
2020-07,Florida,9746638,149112.0,2.695231242033556,0.6641035656492382,1.5298813806360716,-0.5496618596639028
2020-07,Georgia,3794129,96401.0,1.1872187524860465,0.3170075276309139,2.5407939477018306,-0.39786199888146956
2020-07,Guam,39876,186.0,0.1338072220642592,0.03333333333333344,0.46644598254589226,-0.08861637743672046
2020-07,Hawaii,41333,673.0,0.8532484419136439,0.3093385214007782,1.6282389374107857,-0.29349001904527705
2020-07,Idaho,412314,3800.0,2.528816692627651,0.4459665144596652,0.9216276915166596,-0.5902404005624446
2020-07,Illinois,4987937,230706.0,0.23897151149230145,0.1826467633127602,4.625278947989921,-0.04546089047011237
2020-07,Indiana,1745006,86855.0,0.40578569454839,0.18867098222228296,4.977346782761778,-0.1544436774168877
2020-07,Iowa,1152156,24212.0,0.5746483146574168,0.23335540726402115,2.101451539548464,-0.21674230634009717
2020-07,Kansas,663964,9654.0,0.8697207094059936,0.29462250234678833,1.453994493677368,-0.307585086995112
2020-07,Kentucky,694134,20877.0,0.7812512028822984,0.32754673788630284,3.0076325320471264,-0.25471110658723595
2020-07,Louisiana,2696554,109304.0,0.8768389556172842,0.20006148305922133,4.0534697246930715,-0.3605943229878632
2020-07,Maine,112034,3546.0,0.3328336723889742,0.17807308970099678,3.1651105914276023,-0.11611395022049842
2020-07,Maryland,2391813,103834.0,0.2810996250669524,0.17934214710826413,4.3412256727428105,-0.07942979294320707
2020-07,Massachusetts,3498717,259483.0,0.10548696389893397,0.13323725297521571,7.416518683848965,0.025102321404504968
2020-07,Michigan,2483179,196370.0,0.25325922325736094,0.09420273703918336,7.908008242659912,-0.1269142754080611
2020-07,Minnesota,1388670,48459.0,0.5007992114878952,0.22768038102959065,3.489597960638597,-0.18198225876433782
2020-07,Mississippi,1279092,40931.0,1.0810357899395093,0.49732952882645587,3.200004378105719,-0.2804883337109835
2020-07,Missouri,1053767,35764.0,1.0353640611207795,0.3028779599271403,3.393919149109813,-0.35987964766867964
2020-07,Montana,71052,1109.0,2.5919316515848543,0.9087779690189328,1.5608286888476046,-0.4685929037161022
2020-07,Nebraska,691529,9469.0,0.3610953651873372,0.3671671960727694,1.369284585317463,0.0044609885837032515
2020-07,Nevada,1014765,19854.0,1.7742343800405704,0.4173329525985152,1.9565120988603275,-0.48910843193508824
2020-07,New Hampshire,190987,12246.0,0.19537963710560735,0.2792228141648385,6.411954740374999,0.07013937200924891
2020-07,New Jersey,5527830,482461.0,0.10087429393411163,0.24083061357282665,8.72785523433246,0.1271319717518007
2020-07,New Mexico,504146,17513.0,0.6899843788759494,0.33128088179399473,3.4737952894597997,-0.21225255189668513
2020-07,New York,12690287,995461.0,0.08865687229348573,0.08381819448738992,7.844274916713862,-0.0044446307456839085
2020-07,North Carolina,2908111,50375.0,1.104283225132345,0.444278792396571,1.7322241138663552,-0.31364809872219745
2020-07,North Dakota,149692,2956.0,0.6042439181223878,0.24936601859678786,1.9747214279988243,-0.22121193386910265
2020-07,Northern Mariana Islands,1100,62.0,0.2761020881670533,0.03333333333333344,5.636363636363637,-0.1902424242424242
2020-07,Ohio,2204116,97128.0,0.7219750420510112,0.2594561651473697,4.40666462200719,-0.2685978981163074
2020-07,Oklahoma,738132,13870.0,1.6582874758708117,0.27845884413309974,1.879067700628072,-0.5190667466413512
2020-07,Oregon,421377,7946.0,1.2849264705882355,0.4660516605166052,1.8857222866933885,-0.3583812523563692
2020-07,Pennsylvania,3210520,217270.0,0.27595512226916297,0.15430386875351965,6.767439542504018,-0.09534132618966895
2020-07,Puerto Rico,353563,5485.0,1.022856783229586,0.25228310502283113,1.5513501129925924,-0.3809333832207825
2020-07,Rhode Island,549884,30536.0,0.14247366562090957,0.19824203421754816,5.553171214292469,0.04881370159751541
2020-07,South Carolina,1978230,35108.0,2.108064158822781,0.9055579678679984,1.7747178032887987,-0.3868987670480545
